ensembl	tissue	gene	P	FDR
ENSG00000189079	BLOOD	ARID2	2.03E-304	3.53E-304
ENSG00000124406	BLOOD	ATP8A1	2.03E-304	3.53E-304
ENSG00000171634	BLOOD	BPTF	2.03E-304	3.53E-304
ENSG00000185658	BLOOD	BRWD1	2.03E-304	3.53E-304
ENSG00000196233	BLOOD	LCOR	2.03E-304	3.53E-304
ENSG00000174197	BLOOD	MGA	2.03E-304	3.53E-304
ENSG00000244754	BLOOD	N4BP2L2	2.03E-304	3.53E-304
ENSG00000078674	BLOOD	PCM1	2.03E-304	3.53E-304
ENSG00000135945	BLOOD	REV1	2.03E-304	3.53E-304
ENSG00000100348	BLOOD	TXN2	2.03E-304	3.53E-304
ENSG00000162402	BLOOD	USP24	2.03E-304	3.53E-304
ENSG00000135913	BLOOD	USP37	2.03E-304	3.53E-304
ENSG00000129003	BLOOD	VPS13C	2.03E-304	3.53E-304
ENSG00000066422	BLOOD	ZBTB11	2.03E-304	3.53E-304
ENSG00000106261	BLOOD	ZKSCAN1	2.03E-304	3.53E-304
ENSG00000137871	BLOOD	ZNF280D	2.03E-304	3.53E-304
ENSG00000048405	BLOOD	ZNF800	2.03E-304	3.53E-304
ENSG00000148516	BLOOD	ZEB1	3.62E-93	5.06E-93
ENSG00000198815	BLOOD	FOXJ3	3.10E-78	4.22E-78
ENSG00000112110	BLOOD	MRPL18	1.03E-16	1.16E-16
ENSG00000139350	BLOOD	NEDD1	1.26E-07	1.34E-07
