ensembl	tissue	gene	P	FDR
ENSG00000106546	MAM	AHR	2.03E-304	3.53E-304
ENSG00000150347	MAM	ARID5B	2.03E-304	3.53E-304
ENSG00000148842	MAM	CNNM2	2.03E-304	3.53E-304
ENSG00000214575	MAM	CPEB1	2.03E-304	3.53E-304
ENSG00000108654	MAM	DDX5	2.03E-304	3.53E-304
ENSG00000054598	MAM	FOXC1	2.03E-304	3.53E-304
ENSG00000102878	MAM	HSF4	2.03E-304	3.53E-304
ENSG00000267100	MAM	ILF3-AS1	2.03E-304	3.53E-304
ENSG00000067082	MAM	KLF6	2.03E-304	3.53E-304
ENSG00000233930	MAM	KRTAP5-AS1	2.03E-304	3.53E-304
ENSG00000233117	MAM	LINC00702	2.03E-304	3.53E-304
ENSG00000076685	MAM	NT5C2	2.03E-304	3.53E-304
ENSG00000108559	MAM	NUP88	2.03E-304	3.53E-304
ENSG00000154845	MAM	PPP4R1	2.03E-304	3.53E-304
ENSG00000152784	MAM	PRDM8	2.03E-304	3.53E-304
ENSG00000132600	MAM	PRMT7	2.03E-304	3.53E-304
ENSG00000229558	MAM	SACS-AS1	2.03E-304	3.53E-304
ENSG00000180773	MAM	SLC36A4	2.03E-304	3.53E-304
ENSG00000143842	MAM	SOX13	2.03E-304	3.53E-304
ENSG00000090447	MAM	TFAP4	2.03E-304	3.53E-304
ENSG00000078237	MAM	TIGAR	2.03E-304	3.53E-304
ENSG00000173276	MAM	ZBTB21	2.03E-304	3.53E-304
ENSG00000127903	MAM	ZNF835	2.03E-304	3.53E-304
ENSG00000095794	MAM	CREM	1.43E-25	1.68E-25
ENSG00000170145	MAM	SIK2	6.51E-20	7.46E-20
