ensembl	tissue	gene	P	FDR
ENSG00000198663	SKLM	C6orf89	2.03E-304	3.53E-304
ENSG00000163820	SKLM	FYCO1	2.03E-304	3.53E-304
ENSG00000140382	SKLM	HMG20A	2.03E-304	3.53E-304
ENSG00000157212	SKLM	PAXIP1	2.03E-304	3.53E-304
ENSG00000115762	SKLM	PLEKHB2	2.03E-304	3.53E-304
ENSG00000143157	SKLM	POGK	2.03E-304	3.53E-304
ENSG00000164828	SKLM	SUN1	2.03E-304	3.53E-304
ENSG00000170100	SKLM	ZNF778	2.03E-304	3.53E-304
ENSG00000131381	SKLM	RBSN	8.97E-155	1.36E-154
ENSG00000120451	SKLM	SNX19	1.04E-116	1.49E-116
ENSG00000143437	SKLM	ARNT	1.33E-12	1.47E-12
