ensembl	tissue	gene	P	FDR
ENSG00000131966	LIV	ACTR10	2.03E-304	3.53E-304
ENSG00000129055	LIV	ANAPC13	2.03E-304	3.53E-304
ENSG00000162704	LIV	ARPC5	2.03E-304	3.53E-304
ENSG00000196072	LIV	BLOC1S2	2.03E-304	3.53E-304
ENSG00000156261	LIV	CCT8	2.03E-304	3.53E-304
ENSG00000122873	LIV	CISD1	2.03E-304	3.53E-304
ENSG00000154719	LIV	MRPL39	2.03E-304	3.53E-304
ENSG00000048544	LIV	MRPS10	2.03E-304	3.53E-304
ENSG00000061794	LIV	MRPS35	2.03E-304	3.53E-304
ENSG00000041357	LIV	PSMA4	2.03E-304	3.53E-304
ENSG00000183527	LIV	PSMG1	2.03E-304	3.53E-304
ENSG00000101310	LIV	SEC23B	2.03E-304	3.53E-304
ENSG00000183291	LIV	sep-15	2.03E-304	3.53E-304
ENSG00000122692	LIV	SMU1	2.03E-304	3.53E-304
ENSG00000154582	LIV	TCEB1	2.03E-304	3.53E-304
ENSG00000162851	LIV	TFB2M	2.03E-304	3.53E-304
ENSG00000175348	LIV	TMEM9B	2.03E-304	3.53E-304
ENSG00000198860	LIV	TSEN15	2.03E-304	3.53E-304
ENSG00000104691	LIV	UBXN8	2.03E-304	3.53E-304
