ensembl	tissue	gene	P	FDR
ENSG00000128383	VAF	APOBEC3A	2.03E-304	3.53E-304
ENSG00000105352	VAF	CEACAM4	2.03E-304	3.53E-304
ENSG00000268734	VAF	CTB-61M7.2	2.03E-304	3.53E-304
ENSG00000186431	VAF	FCAR	2.03E-304	3.53E-304
ENSG00000085265	VAF	FCN1	2.03E-304	3.53E-304
ENSG00000171051	VAF	FPR1	2.03E-304	3.53E-304
ENSG00000108244	VAF	KRT23	2.03E-304	3.53E-304
ENSG00000239998	VAF	LILRA2	2.03E-304	3.53E-304
ENSG00000204577	VAF	LILRB3	2.03E-304	3.53E-304
ENSG00000059728	VAF	MXD1	2.03E-304	3.53E-304
ENSG00000163993	VAF	S100P	2.03E-304	3.53E-304
ENSG00000112303	VAF	VNN2	2.03E-304	3.53E-304
ENSG00000093134	VAF	VNN3	2.03E-304	3.53E-304
ENSG00000189068	VAF	VSTM1	2.03E-304	3.53E-304
ENSG00000158825	VAF	CDA	1.26E-142	1.88E-142
ENSG00000101425	VAF	BPI	1.75E-114	2.51E-114
ENSG00000186615	LIV	KTN1-AS1	9.99E-58	1.29E-57
ENSG00000186446	LIV	ZNF501	3.23E-55	4.16E-55
ENSG00000126467	LIV	TSKS	2.80E-53	3.59E-53
ENSG00000118520	VAF	ARG1	1.63E-45	2.04E-45
ENSG00000230658	LIV	KLHL7-AS1	6.63E-33	7.98E-33
ENSG00000162746	LIV	FCRLB	1.96E-32	2.35E-32
ENSG00000254990	LIV	RP11-108O10.2	3.65E-23	4.24E-23
ENSG00000101307	VAF	SIRPB1	0.00093584	0.00096377
