ensembl	tissue	gene	P	FDR
ENSG00000181754	VAF	AMIGO1	2.03E-304	3.53E-304
ENSG00000157823	VAF	AP3S2	2.03E-304	3.53E-304
ENSG00000141568	VAF	FOXK2	2.03E-304	3.53E-304
ENSG00000184481	VAF	FOXO4	2.03E-304	3.53E-304
ENSG00000163155	VAF	LYSMD1	2.03E-304	3.53E-304
ENSG00000186868	VAF	MAPT	2.03E-304	3.53E-304
ENSG00000116688	VAF	MFN2	2.03E-304	3.53E-304
ENSG00000175727	VAF	MLXIP	2.03E-304	3.53E-304
ENSG00000082641	VAF	NFE2L1	2.03E-304	3.53E-304
ENSG00000066136	VAF	NFYC	2.03E-304	3.53E-304
ENSG00000103512	VAF	NOMO1	2.03E-304	3.53E-304
ENSG00000184271	VAF	POU6F1	2.03E-304	3.53E-304
ENSG00000138162	VAF	TACC2	2.03E-304	3.53E-304
ENSG00000100296	VAF	THOC5	2.03E-304	3.53E-304
ENSG00000175764	VAF	TTLL11	2.03E-304	3.53E-304
ENSG00000214717	VAF	ZBED1	2.03E-304	3.53E-304
ENSG00000153786	VAF	ZDHHC7	2.03E-304	3.53E-304
ENSG00000101019	VAF	UQCC1	3.27E-117	4.72E-117
ENSG00000213533	VAF	TMEM110	7.27E-16	8.15E-16
