ensembl	tissue	gene	P	FDR
ENSG00000134184	VAF	GSTM1	2.62E-169	4.03E-169
ENSG00000134202	SF	GSTM3	3.80E-162	5.78E-162
ENSG00000168765	LIV	GSTM4	4.46E-146	6.70E-146
ENSG00000134184	SKLM	GSTM1	1.93E-136	2.86E-136
ENSG00000134202	LIV	GSTM3	7.75E-135	1.15E-134
ENSG00000213366	LIV	GSTM2	1.23E-133	1.81E-133
ENSG00000134201	SF	GSTM5	8.34E-129	1.22E-128
ENSG00000134184	LIV	GSTM1	6.04E-128	8.85E-128
ENSG00000134184	BLOOD	GSTM1	2.99E-126	4.37E-126
ENSG00000134184	AOR	GSTM1	2.48E-124	3.61E-124
ENSG00000134184	MAM	GSTM1	1.13E-117	1.63E-117
ENSG00000213366	SKLM	GSTM2	1.17E-105	1.66E-105
ENSG00000134201	SKLM	GSTM5	3.51E-80	4.80E-80
ENSG00000134201	LIV	GSTM5	2.91E-74	3.93E-74
ENSG00000134201	AOR	GSTM5	2.00E-72	2.69E-72
ENSG00000134201	VAF	GSTM5	2.01E-29	2.38E-29
ENSG00000134184	SF	GSTM1	2.89E-28	3.42E-28
ENSG00000144407	LIV	PTH2R	1.58E-17	1.79E-17
ENSG00000197360	MAM	ZNF98	3.46E-15	3.87E-15
