ensembl	tissue	gene	P	FDR
ENSG00000127152	VAF	BCL11B	2.03E-304	3.53E-304
ENSG00000185811	VAF	IKZF1	2.03E-304	3.53E-304
ENSG00000161405	VAF	IKZF3	2.03E-304	3.53E-304
ENSG00000012124	VAF	CD22	1.19E-256	1.98E-256
ENSG00000119866	VAF	BCL11A	3.51E-239	5.71E-239
ENSG00000196092	VAF	PAX5	2.45E-227	3.95E-227
ENSG00000160856	VAF	FCRL3	7.34E-166	1.12E-165
ENSG00000020633	VAF	RUNX3	1.66E-95	2.32E-95
ENSG00000269404	VAF	SPIB	1.76E-72	2.37E-72
ENSG00000110031	VAF	LPXN	6.94E-20	7.95E-20
ENSG00000112799	VAF	LY86	5.59E-19	6.37E-19
ENSG00000111206	VAF	FOXM1	3.02E-16	3.39E-16
ENSG00000196735	VAF	HLA-DQA1	8.30E-09	8.93E-09
ENSG00000204252	VAF	HLA-DOA	1.4598E-06	1.5437E-06
