ensembl	tissue	gene	P	FDR
ENSG00000125726	VAF	CD70	2.03E-304	3.53E-304
ENSG00000144191	VAF	CNGA3	2.03E-304	3.53E-304
ENSG00000136574	VAF	GATA4	2.03E-304	3.53E-304
ENSG00000148357	VAF	HMCN2	2.03E-304	3.53E-304
ENSG00000122592	VAF	HOXA7	2.03E-304	3.53E-304
ENSG00000120075	VAF	HOXB5	2.03E-304	3.53E-304
ENSG00000108511	VAF	HOXB6	2.03E-304	3.53E-304
ENSG00000260027	VAF	HOXB7	2.03E-304	3.53E-304
ENSG00000120068	VAF	HOXB8	2.03E-304	3.53E-304
ENSG00000170689	VAF	HOXB9	2.03E-304	3.53E-304
ENSG00000224609	VAF	HSD52	2.03E-304	3.53E-304
ENSG00000162761	VAF	LMX1A	2.03E-304	3.53E-304
ENSG00000034971	VAF	MYOC	2.03E-304	3.53E-304
ENSG00000164920	VAF	OSR2	2.03E-304	3.53E-304
ENSG00000187848	VAF	P2RX2	2.03E-304	3.53E-304
ENSG00000104213	VAF	PDGFRL	2.03E-304	3.53E-304
ENSG00000146555	VAF	SDK1	2.03E-304	3.53E-304
ENSG00000164458	VAF	T	2.03E-304	3.53E-304
ENSG00000169902	VAF	TPST1	2.03E-304	3.53E-304
ENSG00000205221	VAF	VIT	2.03E-304	3.53E-304
ENSG00000185274	VAF	WBSCR17	2.03E-304	3.53E-304
ENSG00000144331	VAF	ZNF385B	2.03E-304	3.53E-304
ENSG00000078053	VAF	AMPH	6.78E-247	1.11E-246
ENSG00000106006	VAF	HOXA6	2.59E-221	4.16E-221
ENSG00000178343	VAF	SHISA3	1.29E-182	2.00E-182
ENSG00000256513	VAF	RP11-977P2.1	8.96E-59	1.17E-58
ENSG00000248869	VAF	RP11-138I17.1	1.42E-56	1.84E-56
ENSG00000238120	VAF	LINC01589	1.32E-55	1.70E-55
ENSG00000043039	VAF	BARX2	8.08E-23	9.40E-23
ENSG00000149294	VAF	NCAM1	0.000054718	0.000057041
ENSG00000166035	VAF	LIPC	0.0011253	0.0011577
ENSG00000132975	VAF	GPR12	0.029486	0.029829
