ensembl	tissue	gene	P	FDR
ENSG00000127152	LIV	BCL11B	2.03E-304	3.53E-304
ENSG00000107099	LIV	DOCK8	2.03E-304	3.53E-304
ENSG00000163508	LIV	EOMES	2.03E-304	3.53E-304
ENSG00000160856	LIV	FCRL3	2.03E-304	3.53E-304
ENSG00000115523	LIV	GNLY	2.03E-304	3.53E-304
ENSG00000185811	LIV	IKZF1	2.03E-304	3.53E-304
ENSG00000161405	LIV	IKZF3	2.03E-304	3.53E-304
ENSG00000225783	LIV	MIAT	2.03E-304	3.53E-304
ENSG00000166501	LIV	PRKCB	2.03E-304	3.53E-304
ENSG00000020633	LIV	RUNX3	2.03E-304	3.53E-304
ENSG00000091490	LIV	SEL1L3	2.03E-304	3.53E-304
ENSG00000073861	LIV	TBX21	2.03E-304	3.53E-304
ENSG00000124203	LIV	ZNF831	2.03E-304	3.53E-304
ENSG00000072858	LIV	SIDT1	5.59E-276	9.45E-276
ENSG00000239713	LIV	APOBEC3G	3.82E-240	6.23E-240
ENSG00000169442	LIV	CD52	7.55E-174	1.17E-173
ENSG00000079263	LIV	SP140	2.50E-154	3.77E-154
ENSG00000227191	LIV	TRGC2	3.96E-139	5.91E-139
ENSG00000126860	LIV	EVI2A	4.82E-104	6.84E-104
ENSG00000168229	LIV	PTGDR	1.42E-30	1.69E-30
ENSG00000153898	LIV	MCOLN2	2.6416E-06	2.7872E-06
