ensembl	tissue	gene	P	FDR
ENSG00000108846	VAF	ABCC3	2.03E-304	3.53E-304
ENSG00000147576	VAF	ADHFE1	2.03E-304	3.53E-304
ENSG00000181092	VAF	ADIPOQ	2.03E-304	3.53E-304
ENSG00000121057	VAF	AKAP1	2.03E-304	3.53E-304
ENSG00000143149	VAF	ALDH9A1	2.03E-304	3.53E-304
ENSG00000114790	VAF	ARHGEF26	2.03E-304	3.53E-304
ENSG00000137274	VAF	BPHL	2.03E-304	3.53E-304
ENSG00000128536	VAF	CDHR3	2.03E-304	3.53E-304
ENSG00000176399	VAF	DMRTA1	2.03E-304	3.53E-304
ENSG00000117791	VAF	MARC2	2.03E-304	3.53E-304
ENSG00000150051	VAF	MKX	2.03E-304	3.53E-304
ENSG00000100714	VAF	MTHFD1	2.03E-304	3.53E-304
ENSG00000118495	VAF	PLAGL1	2.03E-304	3.53E-304
ENSG00000132170	VAF	PPARG	2.03E-304	3.53E-304
ENSG00000198963	VAF	RORB	2.03E-304	3.53E-304
ENSG00000165730	VAF	STOX1	2.03E-304	3.53E-304
ENSG00000188958	VAF	UTS2B	2.03E-304	3.53E-304
ENSG00000140009	VAF	ESR2	1.15E-12	1.26E-12
ENSG00000204764	LIV	RANBP17	4.67E-11	5.12E-11
ENSG00000044012	LIV	GUCA2B	3.90E-10	4.24E-10
ENSG00000111696	VAF	NT5DC3	9.5409E-06	0.000010011
ENSG00000272129	VAF	RP11-250B2.6	0.0001618	0.00016776
ENSG00000263004	VAF	RP11-166P13.3	0.089139	0.08989
