ensembl	tissue	gene	P	FDR
ENSG00000177465	VAF	ACOT4	2.03E-304	3.53E-304
ENSG00000161940	VAF	BCL6B	2.03E-304	3.53E-304
ENSG00000137225	VAF	CAPN11	2.03E-304	3.53E-304
ENSG00000109794	VAF	FAM149A	2.03E-304	3.53E-304
ENSG00000183807	VAF	FAM162B	2.03E-304	3.53E-304
ENSG00000182118	VAF	FAM89A	2.03E-304	3.53E-304
ENSG00000272143	VAF	FGF14-AS2	2.03E-304	3.53E-304
ENSG00000232559	VAF	GS1-124K5.12	2.03E-304	3.53E-304
ENSG00000196917	VAF	HCAR1	2.03E-304	3.53E-304
ENSG00000165478	VAF	HEPACAM	2.03E-304	3.53E-304
ENSG00000159387	VAF	IRX6	2.03E-304	3.53E-304
ENSG00000235387	VAF	LINC00961	2.03E-304	3.53E-304
ENSG00000005102	VAF	MEOX1	2.03E-304	3.53E-304
ENSG00000204301	VAF	NOTCH4	2.03E-304	3.53E-304
ENSG00000267107	VAF	PCAT19	2.03E-304	3.53E-304
ENSG00000008323	VAF	PLEKHG6	2.03E-304	3.53E-304
ENSG00000169618	VAF	PROKR1	2.03E-304	3.53E-304
ENSG00000042445	VAF	RETSAT	2.03E-304	3.53E-304
ENSG00000223678	VAF	RP11-311H10.4	2.03E-304	3.53E-304
ENSG00000157152	VAF	SYN2	2.03E-304	3.53E-304
ENSG00000253304	VAF	TMEM200B	2.03E-304	3.53E-304
ENSG00000089063	VAF	TMEM230	2.03E-304	3.53E-304
ENSG00000125337	VAF	KIF25	5.40E-134	7.99E-134
ENSG00000166405	VAF	RIC3	2.35E-17	2.65E-17
ENSG00000235423	LIV	RP11-282O18.3	9.88E-09	1.06E-08
ENSG00000133740	VAF	E2F5	1.00E-07	1.07E-07
ENSG00000249684	LIV	RP11-423H2.3	0.00010512	0.00010914
