ensembl	tissue	gene	P	FDR
ENSG00000234638	SKLM	AC053503.6	2.03E-304	3.53E-304
ENSG00000237126	SKLM	AC073254.1	2.03E-304	3.53E-304
ENSG00000152348	SKLM	ATG10	2.03E-304	3.53E-304
ENSG00000105072	SKLM	C19orf44	2.03E-304	3.53E-304
ENSG00000148842	SKLM	CNNM2	2.03E-304	3.53E-304
ENSG00000142856	SKLM	ITGB3BP	2.03E-304	3.53E-304
ENSG00000237399	SKLM	PITRM1-AS1	2.03E-304	3.53E-304
ENSG00000272758	SKLM	RP11-299J3.8	2.03E-304	3.53E-304
ENSG00000258301	SKLM	RP11-488C13.5	2.03E-304	3.53E-304
ENSG00000263766	SKLM	RP11-580I16.2	2.03E-304	3.53E-304
ENSG00000257337	SKLM	RP11-983P16.4	2.03E-304	3.53E-304
ENSG00000167720	SKLM	SRR	2.03E-304	3.53E-304
ENSG00000198874	SKLM	TYW1	2.03E-304	3.53E-304
ENSG00000130684	SKLM	ZNF337	2.03E-304	3.53E-304
