ensembl	tissue	gene	P	FDR
ENSG00000079432	BLOOD	CIC	2.03E-304	3.53E-304
ENSG00000185507	BLOOD	IRF7	2.03E-304	3.53E-304
ENSG00000272333	BLOOD	KMT2B	2.03E-304	3.53E-304
ENSG00000131408	BLOOD	NR1H2	2.03E-304	3.53E-304
ENSG00000178685	BLOOD	PARP10	2.03E-304	3.53E-304
ENSG00000100034	BLOOD	PPM1F	2.03E-304	3.53E-304
ENSG00000131759	BLOOD	RARA	2.03E-304	3.53E-304
ENSG00000180900	BLOOD	SCRIB	2.03E-304	3.53E-304
ENSG00000167703	BLOOD	SLC43A2	2.03E-304	3.53E-304
ENSG00000066336	BLOOD	SPI1	2.03E-304	3.53E-304
ENSG00000129925	BLOOD	TMEM8A	2.03E-304	3.53E-304
ENSG00000160685	BLOOD	ZBTB7B	2.03E-304	3.53E-304
ENSG00000181444	BLOOD	ZNF467	2.03E-304	3.53E-304
ENSG00000142208	BLOOD	AKT1	4.03E-301	6.99E-301
ENSG00000159840	BLOOD	ZYX	7.94E-262	1.32E-261
ENSG00000186350	BLOOD	RXRA	8.82E-243	1.44E-242
ENSG00000136280	BLOOD	CCM2	2.08E-119	3.01E-119
ENSG00000064666	BLOOD	CNN2	2.51E-64	3.31E-64
ENSG00000125826	BLOOD	RBCK1	4.23E-64	5.58E-64
ENSG00000167491	BLOOD	GATAD2A	1.98E-29	2.35E-29
ENSG00000160255	BLOOD	ITGB2	5.90E-19	6.73E-19
ENSG00000171298	BLOOD	GAA	3.99E-09	4.30E-09
ENSG00000171302	BLOOD	CANT1	9.99E-09	1.07E-08
ENSG00000133114	BLOOD	GPALPP1	2.61E-08	2.79E-08
ENSG00000112561	BLOOD	TFEB	0.000059748	0.000062201
