ensembl	tissue	gene	P	FDR
ENSG00000182551	SKLM	ADI1	2.03E-304	3.53E-304
ENSG00000169857	SKLM	AVEN	2.03E-304	3.53E-304
ENSG00000136261	SKLM	BZW2	2.03E-304	3.53E-304
ENSG00000109519	SKLM	GRPEL1	2.03E-304	3.53E-304
ENSG00000027001	SKLM	MIPEP	2.03E-304	3.53E-304
ENSG00000130414	SKLM	NDUFA10	2.03E-304	3.53E-304
ENSG00000116288	SKLM	PARK7	2.03E-304	3.53E-304
ENSG00000161980	SKLM	POLR3K	2.03E-304	3.53E-304
ENSG00000181929	SKLM	PRKAG1	2.03E-304	3.53E-304
ENSG00000117748	SKLM	RPA2	2.03E-304	3.53E-304
ENSG00000130347	SKLM	RTN4IP1	2.03E-304	3.53E-304
ENSG00000100347	SKLM	SAMM50	2.03E-304	3.53E-304
ENSG00000100104	SKLM	SRRD	2.03E-304	3.53E-304
ENSG00000123297	SKLM	TSFM	2.03E-304	3.53E-304
ENSG00000101019	SKLM	UQCC1	2.03E-304	3.53E-304
ENSG00000165637	SKLM	VDAC2	2.03E-304	3.53E-304
ENSG00000156795	SKLM	WDYHV1	2.03E-304	3.53E-304
ENSG00000085063	SKLM	CD59	4.03E-179	6.24E-179
