ensembl	tissue	gene	P	FDR
ENSG00000160593	VAF	AMICA1	2.03E-304	3.53E-304
ENSG00000136250	VAF	AOAH	2.03E-304	3.53E-304
ENSG00000090382	VAF	LYZ	2.03E-304	3.53E-304
ENSG00000196209	VAF	SIRPB2	2.03E-304	3.53E-304
ENSG00000057657	VAF	PRDM1	2.08E-119	3.01E-119
ENSG00000139083	VAF	ETV6	2.39E-108	3.41E-108
ENSG00000151702	VAF	FLI1	4.90E-70	6.56E-70
ENSG00000154127	VAF	UBASH3B	2.76E-60	3.61E-60
ENSG00000110660	VAF	SLC35F2	1.68E-46	2.12E-46
ENSG00000003056	VAF	M6PR	1.45E-35	1.76E-35
ENSG00000111424	VAF	VDR	1.05E-15	1.18E-15
ENSG00000088325	VAF	TPX2	1.13E-09	1.23E-09
