ensembl	tissue	gene	P	FDR
ENSG00000129515	AOR	SNX6	2.03E-304	3.53E-304
ENSG00000104388	AOR	RAB2A	5.42E-302	9.39E-302
ENSG00000145817	AOR	YIPF5	1.93E-278	3.27E-278
ENSG00000079332	AOR	SAR1A	1.64E-248	2.70E-248
ENSG00000152558	AOR	TMEM123	2.20E-242	3.60E-242
ENSG00000169057	AOR	MECP2	1.64E-109	2.35E-109
ENSG00000175582	AOR	RAB6A	5.41E-73	7.29E-73
ENSG00000151135	AOR	TMEM263	6.09E-62	7.99E-62
ENSG00000130254	AOR	SAFB2	1.77E-56	2.29E-56
ENSG00000124767	AOR	GLO1	3.22E-54	4.14E-54
ENSG00000160633	AOR	SAFB	9.60E-53	1.23E-52
ENSG00000129596	AOR	CDO1	4.13E-18	4.68E-18
ENSG00000173120	AOR	KDM2A	1.21E-16	1.36E-16
ENSG00000151632	AOR	AKR1C2	1.16E-14	1.30E-14
ENSG00000197714	SKLM	ZNF460	2.90E-09	3.13E-09
ENSG00000164096	AOR	C4orf3	0.0029228	0.0029916
ENSG00000160007	AOR	ARHGAP35	0.0042671	0.0043558
