ensembl	tissue	gene	P	FDR
ENSG00000196843	BLOOD	ARID5A	2.03E-304	3.53E-304
ENSG00000100425	BLOOD	BRD1	2.03E-304	3.53E-304
ENSG00000132017	BLOOD	DCAF15	2.03E-304	3.53E-304
ENSG00000104885	BLOOD	DOT1L	2.03E-304	3.53E-304
ENSG00000173153	BLOOD	ESRRA	2.03E-304	3.53E-304
ENSG00000075240	BLOOD	GRAMD4	2.03E-304	3.53E-304
ENSG00000182979	BLOOD	MTA1	2.03E-304	3.53E-304
ENSG00000160877	BLOOD	NACC1	2.03E-304	3.53E-304
ENSG00000148335	BLOOD	NTMT1	2.03E-304	3.53E-304
ENSG00000126464	BLOOD	PRR12	2.03E-304	3.53E-304
ENSG00000159792	BLOOD	PSKH1	2.03E-304	3.53E-304
ENSG00000148334	BLOOD	PTGES2	2.03E-304	3.53E-304
ENSG00000227500	BLOOD	SCAMP4	2.03E-304	3.53E-304
ENSG00000109066	BLOOD	TMEM104	2.03E-304	3.53E-304
ENSG00000198276	BLOOD	UCKL1	2.03E-304	3.53E-304
ENSG00000163795	BLOOD	ZNF513	2.03E-304	3.53E-304
ENSG00000105662	BLOOD	CRTC1	2.50E-290	4.29E-290
ENSG00000114767	BLOOD	RRP9	3.80E-74	5.13E-74
ENSG00000103199	BLOOD	ZNF500	2.26E-21	2.61E-21
ENSG00000198715	BLOOD	GLMP	1.06E-18	1.21E-18
ENSG00000165684	BLOOD	SNAPC4	1.46E-07	1.56E-07
ENSG00000090447	BLOOD	TFAP4	2.15E-07	2.29E-07
