ensembl	tissue	gene	P	FDR
ENSG00000116459	BLOOD	ATP5F1	2.03E-304	3.53E-304
ENSG00000164615	BLOOD	CAMLG	2.03E-304	3.53E-304
ENSG00000136710	BLOOD	CCDC115	2.03E-304	3.53E-304
ENSG00000198937	BLOOD	CCDC167	2.03E-304	3.53E-304
ENSG00000169442	BLOOD	CD52	2.03E-304	3.53E-304
ENSG00000115944	BLOOD	COX7A2L	2.03E-304	3.53E-304
ENSG00000175390	BLOOD	EIF3F	2.03E-304	3.53E-304
ENSG00000063046	BLOOD	EIF4B	2.03E-304	3.53E-304
ENSG00000122034	BLOOD	GTF3A	2.03E-304	3.53E-304
ENSG00000213928	BLOOD	IRF9	2.03E-304	3.53E-304
ENSG00000179010	BLOOD	MRFAP1	2.03E-304	3.53E-304
ENSG00000175581	BLOOD	MRPL48	2.03E-304	3.53E-304
ENSG00000196531	BLOOD	NACA	2.03E-304	3.53E-304
ENSG00000164346	BLOOD	NSA2	2.03E-304	3.53E-304
ENSG00000180817	BLOOD	PPA1	2.03E-304	3.53E-304
ENSG00000165502	BLOOD	RPL36AL	2.03E-304	3.53E-304
ENSG00000231500	BLOOD	RPS18	2.03E-304	3.53E-304
ENSG00000186468	BLOOD	RPS23	2.03E-304	3.53E-304
ENSG00000196683	BLOOD	TOMM7	2.03E-304	3.53E-304
ENSG00000198839	BLOOD	ZNF277	2.03E-304	3.53E-304
ENSG00000141068	BLOOD	KSR1	1.27E-10	1.39E-10
ENSG00000135972	BLOOD	MRPS9	2.03E-10	2.21E-10
ENSG00000129566	BLOOD	TEP1	2.16E-09	2.33E-09
ENSG00000139168	BLOOD	ZCRB1	9.72E-08	1.04E-07
ENSG00000224877	BLOOD	C17orf89	4.27E-07	4.53E-07
ENSG00000111906	BLOOD	HDDC2	0.1415	0.14224
