ensembl	tissue	gene	P	FDR
ENSG00000012779	SF	ALOX5	2.03E-304	3.53E-304
ENSG00000104894	SF	CD37	2.03E-304	3.53E-304
ENSG00000132514	SF	CLEC10A	2.03E-304	3.53E-304
ENSG00000167600	SF	CYP2S1	2.03E-304	3.53E-304
ENSG00000223865	SF	HLA-DPB1	2.03E-304	3.53E-304
ENSG00000096996	SF	IL12RB1	2.03E-304	3.53E-304
ENSG00000128604	SF	IRF5	2.03E-304	3.53E-304
ENSG00000239998	SF	LILRA2	2.03E-304	3.53E-304
ENSG00000204577	SF	LILRB3	2.03E-304	3.53E-304
ENSG00000198951	SF	NAGA	2.03E-304	3.53E-304
ENSG00000131401	SF	NAPSB	2.03E-304	3.53E-304
ENSG00000100365	SF	NCF4	2.03E-304	3.53E-304
ENSG00000066336	SF	SPI1	2.03E-304	3.53E-304
ENSG00000167642	SF	SPINT2	2.03E-304	3.53E-304
ENSG00000075275	SF	CELSR1	2.16E-07	2.30E-07
ENSG00000123685	SF	BATF3	0.0010755	0.0011067
ENSG00000161640	SF	SIGLEC11	0.015208	0.015422
ENSG00000151650	SF	VENTX	0.019028	0.01928
