ensembl	tissue	gene	P	FDR
ENSG00000047617	AOR	ANO2	2.03E-304	3.53E-304
ENSG00000163947	AOR	ARHGEF3	2.03E-304	3.53E-304
ENSG00000161940	AOR	BCL6B	2.03E-304	3.53E-304
ENSG00000155849	AOR	ELMO1	2.03E-304	3.53E-304
ENSG00000197245	AOR	FAM110D	2.03E-304	3.53E-304
ENSG00000151702	AOR	FLI1	2.03E-304	3.53E-304
ENSG00000175879	AOR	HOXD8	2.03E-304	3.53E-304
ENSG00000114378	AOR	HYAL1	2.03E-304	3.53E-304
ENSG00000003147	AOR	ICA1	2.03E-304	3.53E-304
ENSG00000106852	AOR	LHX6	2.03E-304	3.53E-304
ENSG00000171488	AOR	LRRC8C	2.03E-304	3.53E-304
ENSG00000138722	AOR	MMRN1	2.03E-304	3.53E-304
ENSG00000116833	AOR	NR5A2	2.03E-304	3.53E-304
ENSG00000130300	AOR	PLVAP	2.03E-304	3.53E-304
ENSG00000128567	AOR	PODXL	2.03E-304	3.53E-304
ENSG00000101695	AOR	RNF125	2.03E-304	3.53E-304
ENSG00000177098	AOR	SCN4B	2.03E-304	3.53E-304
ENSG00000162367	AOR	TAL1	2.03E-304	3.53E-304
ENSG00000120156	AOR	TEK	2.03E-304	3.53E-304
ENSG00000178175	AOR	ZNF366	2.03E-304	3.53E-304
