ensembl	tissue	gene	P	FDR
ENSG00000075426	VAF	FOSL2	2.03E-304	3.53E-304
ENSG00000136997	VAF	MYC	2.12E-271	3.57E-271
ENSG00000175592	VAF	FOSL1	5.15E-221	8.28E-221
ENSG00000162772	VAF	ATF3	5.06E-39	6.23E-39
ENSG00000120738	VAF	EGR1	6.54E-33	7.86E-33
ENSG00000163435	LIV	ELF3	5.02E-27	5.92E-27
ENSG00000170345	VAF	FOS	1.27E-17	1.44E-17
ENSG00000205361	LIV	MT1DP	1.33E-15	1.48E-15
ENSG00000169715	LIV	MT1E	8.57E-13	9.46E-13
ENSG00000125347	LIV	IRF1	2.37E-11	2.60E-11
ENSG00000095794	VAF	CREM	0.000028264	0.000029545
ENSG00000157557	VAF	ETS2	0.00011767	0.00012214
