ensembl	tissue	gene	P	FDR
ENSG00000136250	SF	AOAH	2.03E-304	3.53E-304
ENSG00000093072	SF	CECR1	2.03E-304	3.53E-304
ENSG00000158869	SF	FCER1G	2.03E-304	3.53E-304
ENSG00000204287	SF	HLA-DRA	2.03E-304	3.53E-304
ENSG00000100600	SF	LGMN	2.03E-304	3.53E-304
ENSG00000244482	SF	LILRA6	2.03E-304	3.53E-304
ENSG00000224397	SF	LINC01272	2.03E-304	3.53E-304
ENSG00000184574	SF	LPAR5	2.03E-304	3.53E-304
ENSG00000110031	SF	LPXN	2.03E-304	3.53E-304
ENSG00000112799	SF	LY86	2.03E-304	3.53E-304
ENSG00000204103	SF	MAFB	2.03E-304	3.53E-304
ENSG00000116990	SF	MYCL	2.03E-304	3.53E-304
ENSG00000169403	SF	PTAFR	2.10E-104	2.99E-104
ENSG00000244405	SF	ETV5	7.51E-102	1.06E-101
ENSG00000113273	SF	ARSB	2.50E-37	3.06E-37
