ensembl	tissue	gene	P	FDR
ENSG00000075239	SKLM	ACAT1	2.03E-304	3.53E-304
ENSG00000129055	SKLM	ANAPC13	2.03E-304	3.53E-304
ENSG00000131100	SKLM	ATP6V1E1	2.03E-304	3.53E-304
ENSG00000120860	SKLM	CCDC53	2.03E-304	3.53E-304
ENSG00000106554	SKLM	CHCHD3	2.03E-304	3.53E-304
ENSG00000168275	SKLM	COA6	2.03E-304	3.53E-304
ENSG00000119878	SKLM	CRIPT	2.03E-304	3.53E-304
ENSG00000162961	SKLM	DPY30	2.03E-304	3.53E-304
ENSG00000140307	SKLM	GTF2A2	2.03E-304	3.53E-304
ENSG00000137947	SKLM	GTF2B	2.03E-304	3.53E-304
ENSG00000122034	SKLM	GTF3A	2.03E-304	3.53E-304
ENSG00000111906	SKLM	HDDC2	2.03E-304	3.53E-304
ENSG00000118418	SKLM	HMGN3	2.03E-304	3.53E-304
ENSG00000154719	SKLM	MRPL39	2.03E-304	3.53E-304
ENSG00000143653	SKLM	SCCPDH	2.03E-304	3.53E-304
ENSG00000176209	SKLM	SMIM19	2.03E-304	3.53E-304
ENSG00000250317	SKLM	SMIM20	2.03E-304	3.53E-304
ENSG00000174446	SKLM	SNAPC5	2.03E-304	3.53E-304
ENSG00000182004	SKLM	SNRPE	2.03E-304	3.53E-304
ENSG00000171202	SKLM	TMEM126A	2.03E-304	3.53E-304
ENSG00000074319	SKLM	TSG101	2.03E-304	3.53E-304
ENSG00000011295	SKLM	TTC19	2.03E-304	3.53E-304
ENSG00000109775	SKLM	UFSP2	2.03E-304	3.53E-304
