ensembl	tissue	gene	P	FDR
ENSG00000268734	SF	CTB-61M7.2	2.03E-304	3.53E-304
ENSG00000186431	SF	FCAR	2.03E-304	3.53E-304
ENSG00000162747	SF	FCGR3B	2.03E-304	3.53E-304
ENSG00000171051	SF	FPR1	2.03E-304	3.53E-304
ENSG00000116299	SF	KIAA1324	2.03E-304	3.53E-304
ENSG00000160588	SF	MPZL3	2.03E-304	3.53E-304
ENSG00000059728	SF	MXD1	2.03E-304	3.53E-304
ENSG00000123405	SF	NFE2	2.03E-304	3.53E-304
ENSG00000163993	SF	S100P	2.03E-304	3.53E-304
ENSG00000173535	SF	TNFRSF10C	2.03E-304	3.53E-304
ENSG00000112303	SF	VNN2	2.03E-304	3.53E-304
ENSG00000133048	SKLM	CHI3L1	2.03E-304	3.53E-304
ENSG00000171051	SKLM	FPR1	2.03E-304	3.53E-304
ENSG00000134460	SKLM	IL2RA	2.03E-304	3.53E-304
ENSG00000112799	SKLM	LY86	2.03E-304	3.53E-304
ENSG00000167208	SKLM	SNX20	2.03E-304	3.53E-304
ENSG00000189068	SF	VSTM1	2.21E-26	2.60E-26
ENSG00000102145	SF	GATA1	8.29E-18	9.40E-18
ENSG00000101425	SF	BPI	7.83E-15	8.73E-15
ENSG00000165702	SF	GFI1B	2.90E-14	3.22E-14
ENSG00000170561	MAM	IRX2	4.03E-13	4.46E-13
ENSG00000215271	MAM	HOMEZ	3.25E-10	3.53E-10
ENSG00000236304	SF	AP001189.4	0.0093009	0.0094565
