ensembl	tissue	gene	P	FDR
ENSG00000115073	BLOOD	ACTR1B	2.03E-304	3.53E-304
ENSG00000185101	BLOOD	ANO9	2.03E-304	3.53E-304
ENSG00000198917	BLOOD	C9orf114	2.03E-304	3.53E-304
ENSG00000176155	BLOOD	CCDC57	2.03E-304	3.53E-304
ENSG00000102901	BLOOD	CENPT	2.03E-304	3.53E-304
ENSG00000154832	BLOOD	CXXC1	2.03E-304	3.53E-304
ENSG00000146830	BLOOD	GIGYF1	2.03E-304	3.53E-304
ENSG00000126456	BLOOD	IRF3	2.03E-304	3.53E-304
ENSG00000212694	BLOOD	LINC01089	2.03E-304	3.53E-304
ENSG00000112511	BLOOD	PHF1	2.03E-304	3.53E-304
ENSG00000141258	BLOOD	SGSM2	2.03E-304	3.53E-304
ENSG00000125520	BLOOD	SLC2A4RG	2.03E-304	3.53E-304
ENSG00000167895	BLOOD	TMC8	2.03E-304	3.53E-304
ENSG00000064201	BLOOD	TSPAN32	2.03E-304	3.53E-304
ENSG00000182179	BLOOD	UBA7	2.03E-304	3.53E-304
ENSG00000140474	BLOOD	ULK3	2.03E-304	3.53E-304
ENSG00000178252	BLOOD	WDR6	2.03E-304	3.53E-304
ENSG00000158805	BLOOD	ZNF276	2.03E-304	3.53E-304
ENSG00000198026	BLOOD	ZNF335	2.03E-304	3.53E-304
ENSG00000065029	BLOOD	ZNF76	2.03E-304	3.53E-304
ENSG00000223705	BLOOD	NSUN5P1	1.19E-89	1.65E-89
ENSG00000163516	BLOOD	ANKZF1	3.13E-81	4.30E-81
ENSG00000166128	BLOOD	RAB8B	6.05E-47	7.64E-47
ENSG00000149182	BLOOD	ARFGAP2	9.21E-16	1.03E-15
ENSG00000120896	BLOOD	SORBS3	1.3098E-06	1.3858E-06
ENSG00000116044	BLOOD	NFE2L2	0.002794	0.0028612
ENSG00000213676	BLOOD	ATF6B	0.0073147	0.0074469
