ensembl	tissue	gene	P	FDR
ENSG00000139620	BLOOD	KANSL2	2.03E-304	3.53E-304
ENSG00000018699	BLOOD	TTC27	2.03E-304	3.53E-304
ENSG00000174306	BLOOD	ZHX3	2.03E-304	3.53E-304
ENSG00000014138	BLOOD	POLA2	2.18E-304	3.78E-304
ENSG00000172888	BLOOD	ZNF621	2.34E-296	4.04E-296
ENSG00000108433	BLOOD	GOSR2	1.26E-290	2.17E-290
ENSG00000156469	BLOOD	MTERF3	2.08E-283	3.55E-283
ENSG00000189298	BLOOD	ZKSCAN3	2.23E-283	3.80E-283
ENSG00000125166	BLOOD	GOT2	1.20E-278	2.03E-278
ENSG00000118197	BLOOD	DDX59	2.03E-268	3.40E-268
ENSG00000127125	BLOOD	PPCS	3.36E-265	5.61E-265
ENSG00000123983	BLOOD	ACSL3	2.18E-257	3.63E-257
ENSG00000197841	BLOOD	ZNF181	7.53E-251	1.24E-250
ENSG00000155329	BLOOD	ZCCHC10	2.59E-204	4.11E-204
ENSG00000171960	BLOOD	PPIH	2.78E-124	4.06E-124
ENSG00000150401	BLOOD	DCUN1D2	3.81E-79	5.20E-79
ENSG00000144233	BLOOD	AMMECR1L	5.83E-47	7.36E-47
ENSG00000243819	VAF	RN7SL832P	1.53E-10	1.67E-10
