ensembl	tissue	gene	P	FDR
ENSG00000133048	SF	CHI3L1	2.03E-304	3.53E-304
ENSG00000133063	SF	CHIT1	2.03E-304	3.53E-304
ENSG00000224821	SF	COL4A2-AS2	2.03E-304	3.53E-304
ENSG00000064195	SF	DLX3	2.03E-304	3.53E-304
ENSG00000122877	SF	EGR2	2.03E-304	3.53E-304
ENSG00000187664	SF	HAPLN4	2.03E-304	3.53E-304
ENSG00000151704	SF	KCNJ1	2.03E-304	3.53E-304
ENSG00000058335	SF	RASGRF1	2.03E-304	3.53E-304
ENSG00000224596	SF	ZMIZ1-AS1	2.03E-304	3.53E-304
ENSG00000233006	VAF	AC034220.3	1.40E-16	1.57E-16
ENSG00000197165	VAF	SULT1A2	3.82E-13	4.23E-13
