ensembl	tissue	gene	P	FDR
ENSG00000224877	LIV	C17orf89	2.03E-304	3.53E-304
ENSG00000167136	LIV	ENDOG	2.03E-304	3.53E-304
ENSG00000103495	LIV	MAZ	2.03E-304	3.53E-304
ENSG00000166823	LIV	MESP1	2.03E-304	3.53E-304
ENSG00000160113	LIV	NR2F6	2.03E-304	3.53E-304
ENSG00000169230	LIV	PRELID1	2.03E-304	3.53E-304
ENSG00000165804	LIV	ZNF219	2.03E-304	3.53E-304
ENSG00000198816	LIV	ZNF358	2.03E-304	3.53E-304
ENSG00000131116	LIV	ZNF428	2.03E-304	3.53E-304
ENSG00000179965	LIV	ZNF771	2.03E-304	3.53E-304
ENSG00000261221	LIV	ZNF865	2.03E-304	3.53E-304
ENSG00000218891	LIV	ZNF579	5.67E-204	8.99E-204
ENSG00000130522	LIV	JUND	1.85E-65	2.45E-65
ENSG00000127528	LIV	KLF2	3.15E-58	4.08E-58
ENSG00000188290	LIV	HES4	1.23E-52	1.57E-52
ENSG00000167685	LIV	ZNF444	7.08E-18	8.02E-18
ENSG00000198680	LIV	TUSC1	2.40E-13	2.66E-13
ENSG00000174428	LIV	GTF2IRD2B	7.7596E-06	8.1468E-06
ENSG00000177576	LIV	C18orf32	0.11078	0.11154
