ensembl	tissue	gene	P	FDR
ENSG00000164713	BLOOD	BRI3	2.46E-254	4.07E-254
ENSG00000101457	BLOOD	DNTTIP1	2.21E-190	3.46E-190
ENSG00000186407	BLOOD	CD300E	1.19E-172	1.84E-172
ENSG00000116990	BLOOD	MYCL	1.25E-110	1.79E-110
ENSG00000105967	BLOOD	TFEC	5.49E-72	7.37E-72
ENSG00000164124	BLOOD	TMEM144	1.63E-71	2.18E-71
ENSG00000164111	BLOOD	ANXA5	1.67E-63	2.19E-63
ENSG00000090382	BLOOD	LYZ	9.10E-28	1.08E-27
ENSG00000128604	BLOOD	IRF5	1.73E-27	2.04E-27
ENSG00000111640	BLOOD	GAPDH	1.93E-21	2.23E-21
ENSG00000169230	BLOOD	PRELID1	1.81E-19	2.07E-19
ENSG00000042493	BLOOD	CAPG	2.95E-18	3.35E-18
ENSG00000135709	BLOOD	KIAA0513	1.56E-11	1.71E-11
ENSG00000131042	BLOOD	LILRB2	5.94E-09	6.40E-09
