ensembl	tissue	gene	P	FDR
ENSG00000174738	MAM	NR1D2	2.45E-41	3.03E-41
ENSG00000123095	MAM	BHLHE41	3.23E-38	3.96E-38
ENSG00000167074	MAM	TEF	2.42E-36	2.94E-36
ENSG00000126368	MAM	NR1D1	3.93E-34	4.75E-34
ENSG00000167074	AOR	TEF	3.82E-29	4.53E-29
ENSG00000108924	MAM	HLF	2.93E-18	3.33E-18
ENSG00000126368	SF	NR1D1	2.43E-17	2.75E-17
ENSG00000170485	LIV	NPAS2	5.65E-17	6.37E-17
ENSG00000133794	MAM	ARNTL	7.10E-15	7.92E-15
ENSG00000174738	AOR	NR1D2	9.40E-13	1.04E-12
ENSG00000133794	AOR	ARNTL	1.12E-11	1.23E-11
ENSG00000133794	LIV	ARNTL	9.16E-11	1.00E-10
ENSG00000167074	SF	TEF	6.07E-10	6.60E-10
ENSG00000185038	LIV	MROH2A	1.06E-09	1.15E-09
ENSG00000108924	AOR	HLF	8.53E-07	9.04E-07
ENSG00000167074	SKLM	TEF	4.1896E-06	4.4143E-06
ENSG00000167074	VAF	TEF	0.000054105	0.000056418
ENSG00000109906	MAM	ZBTB16	0.0035399	0.0036193
ENSG00000133794	VAF	ARNTL	0.13958	0.14038
