ensembl	tissue	gene	P	FDR
ENSG00000144827	BLOOD	ABHD10	2.03E-304	3.53E-304
ENSG00000130770	BLOOD	ATPIF1	2.03E-304	3.53E-304
ENSG00000162885	BLOOD	B3GALNT2	2.03E-304	3.53E-304
ENSG00000161940	BLOOD	BCL6B	2.03E-304	3.53E-304
ENSG00000162817	BLOOD	C1orf115	2.03E-304	3.53E-304
ENSG00000176386	BLOOD	CDC26	2.03E-304	3.53E-304
ENSG00000103121	BLOOD	CMC2	2.03E-304	3.53E-304
ENSG00000124802	BLOOD	EEF1E1	2.03E-304	3.53E-304
ENSG00000118418	BLOOD	HMGN3	2.03E-304	3.53E-304
ENSG00000262902	BLOOD	MTCO1P40	2.03E-304	3.53E-304
ENSG00000143751	BLOOD	SDE2	2.03E-304	3.53E-304
ENSG00000151500	BLOOD	THYN1	2.03E-304	3.53E-304
ENSG00000134291	BLOOD	TMEM106C	2.03E-304	3.53E-304
ENSG00000083812	BLOOD	ZNF324	2.03E-304	3.53E-304
ENSG00000171574	BLOOD	ZNF584	2.03E-304	3.53E-304
ENSG00000177842	BLOOD	ZNF620	2.03E-304	3.53E-304
ENSG00000186230	BLOOD	ZNF749	2.03E-304	3.53E-304
ENSG00000204524	BLOOD	ZNF805	2.03E-304	3.53E-304
ENSG00000214941	BLOOD	ZSWIM7	2.03E-304	3.53E-304
ENSG00000198205	BLOOD	ZXDA	2.03E-304	3.53E-304
ENSG00000204947	BLOOD	ZNF425	7.93E-284	1.35E-283
ENSG00000157554	BLOOD	ERG	3.14E-268	5.26E-268
ENSG00000266709	BLOOD	RP11-214O1.2	1.91E-196	3.00E-196
ENSG00000274349	BLOOD	ZNF658	7.60E-22	8.80E-22
