ensembl	tissue	gene	P	FDR
ENSG00000101126	SF	ADNP	2.03E-304	3.53E-304
ENSG00000116539	SF	ASH1L	2.03E-304	3.53E-304
ENSG00000156650	SF	KAT6B	2.03E-304	3.53E-304
ENSG00000118058	SF	KMT2A	2.03E-304	3.53E-304
ENSG00000084676	SF	NCOA1	2.03E-304	3.53E-304
ENSG00000159140	SF	SON	1.41E-234	2.28E-234
ENSG00000106261	SF	ZKSCAN1	2.05E-209	3.27E-209
ENSG00000263001	SF	GTF2I	5.28E-92	7.37E-92
ENSG00000102908	SF	NFAT5	4.76E-69	6.34E-69
ENSG00000166025	SF	AMOTL1	6.79E-53	8.70E-53
ENSG00000074657	SF	ZNF532	6.30E-45	7.90E-45
ENSG00000176542	SF	USF3	7.68E-34	9.27E-34
ENSG00000100207	SF	TCF20	3.34E-23	3.89E-23
ENSG00000005339	SF	CREBBP	2.65E-21	3.05E-21
ENSG00000160007	SF	ARHGAP35	5.79E-21	6.66E-21
ENSG00000106771	SF	TMEM245	1.08E-16	1.21E-16
ENSG00000166454	SF	ATMIN	6.04E-14	6.71E-14
ENSG00000103657	SF	HERC1	2.58E-13	2.86E-13
ENSG00000114126	SF	TFDP2	2.35E-12	2.59E-12
ENSG00000146676	SF	PURB	4.15E-12	4.57E-12
ENSG00000177463	SF	NR2C2	7.2624E-06	7.6268E-06
