ensembl	tissue	gene	P	FDR
ENSG00000170296	SKLM	GABARAP	2.03E-304	3.53E-304
ENSG00000235106	SKLM	LINC00094	2.03E-304	3.53E-304
ENSG00000154889	SKLM	MPPE1	2.03E-304	3.53E-304
ENSG00000244165	SKLM	P2RY11	2.03E-304	3.53E-304
ENSG00000126822	SKLM	PLEKHG3	2.03E-304	3.53E-304
ENSG00000100413	SKLM	POLR3H	2.03E-304	3.53E-304
ENSG00000245025	SKLM	RP11-875O11.1	2.03E-304	3.53E-304
ENSG00000160678	SKLM	S100A1	2.03E-304	3.53E-304
ENSG00000100445	SKLM	SDR39U1	2.03E-304	3.53E-304
ENSG00000134779	SKLM	TPGS2	2.03E-304	3.53E-304
ENSG00000123416	SKLM	TUBA1B	2.03E-304	3.53E-304
ENSG00000204444	SKLM	APOM	8.53E-46	1.07E-45
