ensembl	tissue	gene	P	FDR
ENSG00000123636	BLOOD	BAZ2B	2.03E-304	3.53E-304
ENSG00000118263	BLOOD	KLF7	2.03E-304	3.53E-304
ENSG00000084676	BLOOD	NCOA1	2.03E-304	3.53E-304
ENSG00000204304	BLOOD	PBX2	2.03E-304	3.53E-304
ENSG00000033800	BLOOD	PIAS1	2.03E-304	3.53E-304
ENSG00000172845	BLOOD	SP3	2.03E-304	3.53E-304
ENSG00000173757	BLOOD	STAT5B	2.03E-304	3.53E-304
ENSG00000177125	BLOOD	ZBTB34	2.03E-304	3.53E-304
ENSG00000130703	BLOOD	OSBPL2	1.82E-281	3.10E-281
ENSG00000168610	BLOOD	STAT3	1.25E-280	2.13E-280
ENSG00000166987	BLOOD	MBD6	3.25E-225	5.24E-225
ENSG00000179456	BLOOD	ZBTB18	5.39E-185	8.39E-185
ENSG00000076108	BLOOD	BAZ2A	6.56E-162	9.97E-162
ENSG00000142599	BLOOD	RERE	2.85E-107	4.06E-107
ENSG00000166888	BLOOD	STAT6	2.10E-90	2.93E-90
ENSG00000064547	BLOOD	LPAR2	1.22E-62	1.60E-62
ENSG00000113303	BLOOD	BTNL8	1.63E-59	2.13E-59
ENSG00000173120	BLOOD	KDM2A	3.16E-56	4.08E-56
ENSG00000173281	BLOOD	PPP1R3B	1.80E-48	2.28E-48
ENSG00000113916	BLOOD	BCL6	1.32E-34	1.60E-34
ENSG00000100647	BLOOD	SUSD6	9.38E-34	1.13E-33
ENSG00000059728	BLOOD	MXD1	1.62E-32	1.95E-32
ENSG00000127954	BLOOD	STEAP4	2.51E-25	2.95E-25
ENSG00000135365	BLOOD	PHF21A	7.04E-25	8.24E-25
ENSG00000179348	BLOOD	GATA2	6.26E-24	7.31E-24
ENSG00000123610	BLOOD	TNFAIP6	8.19E-23	9.52E-23
ENSG00000189180	BLOOD	ZNF33A	8.39E-19	9.56E-19
ENSG00000206344	BLOOD	HCG27	3.46E-17	3.91E-17
ENSG00000160588	BLOOD	MPZL3	7.83E-15	8.73E-15
ENSG00000115507	BLOOD	OTX1	6.47E-07	6.86E-07
ENSG00000012223	BLOOD	LTF	1.7854E-06	1.8869E-06
ENSG00000133048	BLOOD	CHI3L1	2.0233E-06	2.1371E-06
ENSG00000138772	BLOOD	ANXA3	0.000005159	5.4312E-06
ENSG00000163993	BLOOD	S100P	0.000027127	0.000028364
ENSG00000163041	BLOOD	H3F3A	0.000076444	0.000079496
ENSG00000205927	BLOOD	OLIG2	0.00034309	0.00035419
ENSG00000181220	BLOOD	ZNF746	0.00062132	0.00064056
