ensembl	tissue	gene	P	FDR
ENSG00000137845	BLOOD	ADAM10	2.03E-304	3.53E-304
ENSG00000128383	BLOOD	APOBEC3A	2.03E-304	3.53E-304
ENSG00000118217	BLOOD	ATF6	2.03E-304	3.53E-304
ENSG00000111729	BLOOD	CLEC4A	2.03E-304	3.53E-304
ENSG00000146592	BLOOD	CREB5	2.03E-304	3.53E-304
ENSG00000107099	BLOOD	DOCK8	2.03E-304	3.53E-304
ENSG00000186431	BLOOD	FCAR	2.03E-304	3.53E-304
ENSG00000075426	BLOOD	FOSL2	2.03E-304	3.53E-304
ENSG00000171049	BLOOD	FPR2	2.03E-304	3.53E-304
ENSG00000185591	BLOOD	SP1	2.03E-304	3.53E-304
ENSG00000067182	BLOOD	TNFRSF1A	2.03E-304	3.53E-304
ENSG00000101493	BLOOD	ZNF516	2.03E-304	3.53E-304
ENSG00000268734	BLOOD	CTB-61M7.2	1.65E-302	2.86E-302
ENSG00000168214	BLOOD	RBPJ	2.42E-277	4.09E-277
ENSG00000072401	BLOOD	UBE2D1	6.97E-269	1.17E-268
ENSG00000165030	BLOOD	NFIL3	5.45E-260	9.08E-260
ENSG00000065882	BLOOD	TBC1D1	1.61E-259	2.68E-259
ENSG00000101307	BLOOD	SIRPB1	2.73E-248	4.48E-248
ENSG00000011198	BLOOD	ABHD5	1.34E-235	2.18E-235
ENSG00000018280	BLOOD	SLC11A1	3.93E-207	6.25E-207
ENSG00000162704	BLOOD	ARPC5	2.30E-198	3.63E-198
ENSG00000104388	BLOOD	RAB2A	6.80E-196	1.07E-195
ENSG00000182117	BLOOD	NOP10	8.89E-160	1.35E-159
ENSG00000140575	BLOOD	IQGAP1	9.96E-106	1.42E-105
ENSG00000156273	BLOOD	BACH1	2.89E-63	3.81E-63
ENSG00000158825	BLOOD	CDA	5.69E-37	6.93E-37
ENSG00000196209	BLOOD	SIRPB2	8.61E-36	1.05E-35
ENSG00000157557	BLOOD	ETS2	6.64E-33	7.98E-33
ENSG00000163466	BLOOD	ARPC2	1.28E-31	1.54E-31
ENSG00000180353	BLOOD	HCLS1	7.05E-29	8.36E-29
ENSG00000196562	BLOOD	SULF2	4.85E-20	5.56E-20
ENSG00000151702	BLOOD	FLI1	7.65E-17	8.62E-17
ENSG00000168310	BLOOD	IRF2	1.38E-14	1.54E-14
ENSG00000140044	BLOOD	JDP2	2.64E-13	2.92E-13
ENSG00000196352	BLOOD	CD55	4.50E-09	4.85E-09
