ensembl	tissue	gene	P	FDR
ENSG00000196975	LIV	ANXA4	2.03E-304	3.53E-304
ENSG00000113361	LIV	CDH6	2.03E-304	3.53E-304
ENSG00000169862	LIV	CTNND2	2.03E-304	3.53E-304
ENSG00000135373	LIV	EHF	2.03E-304	3.53E-304
ENSG00000175832	LIV	ETV4	2.03E-304	3.53E-304
ENSG00000183844	LIV	FAM3B	2.03E-304	3.53E-304
ENSG00000083307	LIV	GRHL2	2.03E-304	3.53E-304
ENSG00000156510	LIV	HKDC1	2.03E-304	3.53E-304
ENSG00000137673	LIV	MMP7	2.03E-304	3.53E-304
ENSG00000125850	LIV	OVOL2	2.03E-304	3.53E-304
ENSG00000139515	LIV	PDX1	2.03E-304	3.53E-304
ENSG00000214491	LIV	SEC14L6	2.03E-304	3.53E-304
ENSG00000035115	LIV	SH3YL1	2.03E-304	3.53E-304
ENSG00000174358	LIV	SLC6A19	2.03E-304	3.53E-304
ENSG00000125398	LIV	SOX9	2.03E-304	3.53E-304
ENSG00000118785	LIV	SPP1	2.03E-304	3.53E-304
ENSG00000019102	LIV	VSIG2	2.03E-304	3.53E-304
