ensembl	tissue	gene	P	FDR
ENSG00000259972	BLOOD	AC009120.6	2.03E-304	3.53E-304
ENSG00000177034	BLOOD	MTX3	2.03E-304	3.53E-304
ENSG00000122435	BLOOD	TRMT13	2.03E-304	3.53E-304
ENSG00000166432	BLOOD	ZMAT1	2.03E-304	3.53E-304
ENSG00000198105	BLOOD	ZNF248	2.03E-304	3.53E-304
ENSG00000178338	BLOOD	ZNF354B	2.03E-304	3.53E-304
ENSG00000167785	BLOOD	ZNF558	2.03E-304	3.53E-304
ENSG00000166762	BLOOD	CATSPER2	4.88E-236	7.93E-236
ENSG00000130714	BLOOD	POMT1	1.22E-229	1.98E-229
ENSG00000185189	BLOOD	NRBP2	6.41E-195	1.01E-194
ENSG00000139190	BLOOD	VAMP1	5.27E-190	8.26E-190
ENSG00000168395	BLOOD	ING5	5.52E-188	8.61E-188
ENSG00000128563	BLOOD	PRKRIP1	2.21E-165	3.38E-165
ENSG00000204946	BLOOD	ZNF783	4.17E-160	6.32E-160
ENSG00000137411	BLOOD	VARS2	1.60E-137	2.38E-137
ENSG00000116455	BLOOD	WDR77	3.79E-85	5.22E-85
ENSG00000070882	BLOOD	OSBPL3	4.25E-62	5.58E-62
ENSG00000176454	BLOOD	LPCAT4	8.68E-54	1.12E-53
ENSG00000185513	BLOOD	L3MBTL1	3.62E-19	4.13E-19
ENSG00000104129	BLOOD	DNAJC17	3.25E-13	3.60E-13
ENSG00000186446	BLOOD	ZNF501	0.00048	0.00049512
ENSG00000179979	BLOOD	CRIPAK	0.047346	0.047846
