ensembl	tissue	gene	P	FDR
ENSG00000135535	LIV	CD164	2.03E-304	3.53E-304
ENSG00000145743	LIV	FBXL17	2.03E-304	3.53E-304
ENSG00000172380	LIV	GNG12	2.03E-304	3.53E-304
ENSG00000167005	LIV	NUDT21	2.03E-304	3.53E-304
ENSG00000139921	LIV	TMX1	2.03E-304	3.53E-304
ENSG00000078140	LIV	UBE2K	2.03E-304	3.53E-304
ENSG00000186660	LIV	ZFP91	2.03E-304	3.53E-304
ENSG00000169359	LIV	SLC33A1	1.43E-147	2.15E-147
ENSG00000127022	LIV	CANX	1.70E-112	2.43E-112
ENSG00000117151	LIV	CTBS	7.39E-59	9.62E-59
ENSG00000164494	LIV	PDSS2	2.13E-19	2.43E-19
ENSG00000156110	LIV	ADK	1.37E-13	1.52E-13
ENSG00000198466	VAF	ZNF587	1.55E-09	1.67E-09
ENSG00000011638	MAM	TMEM159	1.36E-07	1.45E-07
ENSG00000111269	LIV	CREBL2	0.000036243	0.000037843
ENSG00000119471	LIV	HSDL2	0.23873	0.23967
