ensembl	tissue	gene	P	FDR
ENSG00000260276	VAF	RP11-77H9.2	2.03E-304	3.53E-304
ENSG00000181722	VAF	ZBTB20	2.03E-304	3.53E-304
ENSG00000176293	VAF	ZNF135	2.03E-304	3.53E-304
ENSG00000152348	VAF	ATG10	2.00E-247	3.29E-247
ENSG00000218537	VAF	MIF-AS1	3.26E-240	5.31E-240
ENSG00000197714	VAF	ZNF460	1.51E-199	2.38E-199
ENSG00000137135	VAF	ARHGEF39	1.30E-116	1.88E-116
ENSG00000273295	VAF	AP000350.5	3.68E-112	5.27E-112
ENSG00000161010	VAF	C5orf45	4.46E-79	6.09E-79
ENSG00000229124	VAF	VIM-AS1	3.17E-75	4.30E-75
ENSG00000104221	VAF	BRF2	1.32E-68	1.76E-68
ENSG00000245025	VAF	RP11-875O11.1	8.56E-67	1.14E-66
ENSG00000254528	VAF	RP11-728F11.4	1.52E-64	2.00E-64
ENSG00000099977	VAF	DDT	1.27E-62	1.67E-62
ENSG00000105072	VAF	C19orf44	7.24E-62	9.48E-62
ENSG00000099974	VAF	DDTL	1.55E-59	2.02E-59
ENSG00000175147	VAF	TMEM51-AS1	1.45E-58	1.88E-58
ENSG00000130684	VAF	ZNF337	4.54E-57	5.88E-57
ENSG00000140987	VAF	ZSCAN32	5.49E-48	6.95E-48
ENSG00000273295	SKLM	AP000350.5	2.24E-47	2.83E-47
ENSG00000272787	SF	KB-226F1.2	1.07E-37	1.31E-37
ENSG00000182472	VAF	CAPN12	2.01E-32	2.41E-32
ENSG00000248483	VAF	POU5F2	1.13E-27	1.33E-27
ENSG00000272758	VAF	RP11-299J3.8	1.39E-22	1.61E-22
ENSG00000167720	VAF	SRR	3.03E-08	3.24E-08
ENSG00000257337	VAF	RP11-983P16.4	0.00050648	0.0005223
ENSG00000188312	VAF	CENPP	0.3611	0.36195
