ensembl	tissue	gene	P	FDR
ENSG00000118217	LIV	ATF6	2.03E-304	3.53E-304
ENSG00000185344	LIV	ATP6V0A2	2.03E-304	3.53E-304
ENSG00000198824	LIV	CHAMP1	2.03E-304	3.53E-304
ENSG00000135100	LIV	HNF1A	2.03E-304	3.53E-304
ENSG00000215271	LIV	HOMEZ	2.03E-304	3.53E-304
ENSG00000142166	LIV	IFNAR1	2.03E-304	3.53E-304
ENSG00000197147	LIV	LRRC8B	2.03E-304	3.53E-304
ENSG00000110713	LIV	NUP98	2.03E-304	3.53E-304
ENSG00000164823	LIV	OSGIN2	2.03E-304	3.53E-304
ENSG00000137713	LIV	PPP2R1B	2.03E-304	3.53E-304
ENSG00000117707	LIV	PROX1	2.03E-304	3.53E-304
ENSG00000119231	LIV	SENP5	2.03E-304	3.53E-304
ENSG00000164300	LIV	SERINC5	2.03E-304	3.53E-304
ENSG00000185591	LIV	SP1	2.03E-304	3.53E-304
ENSG00000148175	LIV	STOM	2.03E-304	3.53E-304
ENSG00000185670	LIV	ZBTB3	2.03E-304	3.53E-304
ENSG00000125846	LIV	ZNF133	2.03E-304	3.53E-304
ENSG00000176407	LIV	KCMF1	4.6956E-06	4.9448E-06
