ensembl	tissue	gene	P	FDR
ENSG00000144857	AOR	BOC	2.03E-304	3.53E-304
ENSG00000005102	AOR	MEOX1	2.03E-304	3.53E-304
ENSG00000106484	AOR	MEST	2.03E-304	3.53E-304
ENSG00000008394	AOR	MGST1	2.03E-304	3.53E-304
ENSG00000009950	AOR	MLXIPL	2.03E-304	3.53E-304
ENSG00000132170	AOR	PPARG	2.03E-304	3.53E-304
ENSG00000135917	AOR	SLC19A3	2.03E-304	3.53E-304
ENSG00000091513	AOR	TF	2.03E-304	3.53E-304
ENSG00000184811	AOR	TUSC5	2.03E-304	3.53E-304
ENSG00000198795	AOR	ZNF521	2.03E-304	3.53E-304
ENSG00000167191	AOR	GPRC5B	1.83E-206	2.91E-206
ENSG00000198597	AOR	ZNF536	3.54E-188	5.53E-188
ENSG00000175161	AOR	CADM2	3.80E-166	5.82E-166
ENSG00000215018	AOR	COL28A1	2.03E-165	3.10E-165
ENSG00000143171	AOR	RXRG	5.04E-164	7.69E-164
ENSG00000145423	AOR	SFRP2	4.60E-120	6.68E-120
ENSG00000091986	AOR	CCDC80	2.99E-109	4.27E-109
ENSG00000108001	AOR	EBF3	2.18E-94	3.04E-94
ENSG00000221818	AOR	EBF2	1.11E-75	1.51E-75
ENSG00000173320	AOR	STOX2	4.81E-71	6.45E-71
ENSG00000070193	AOR	FGF10	1.29E-63	1.71E-63
ENSG00000064309	AOR	CDON	8.93E-51	1.14E-50
ENSG00000182463	AOR	TSHZ2	4.85E-46	6.09E-46
ENSG00000108381	AOR	ASPA	3.31E-43	4.12E-43
ENSG00000153446	AOR	C16orf89	7.93E-34	9.56E-34
ENSG00000184937	AOR	WT1	0.000014031	0.000014699
ENSG00000185070	AOR	FLRT2	0.13424	0.13509
