ensembl	tissue	gene	P	FDR
ENSG00000112182	BLOOD	BACH2	2.03E-304	3.53E-304
ENSG00000119866	BLOOD	BCL11A	2.03E-304	3.53E-304
ENSG00000123095	BLOOD	BHLHE41	2.03E-304	3.53E-304
ENSG00000136573	BLOOD	BLK	2.03E-304	3.53E-304
ENSG00000188822	BLOOD	CNR2	2.03E-304	3.53E-304
ENSG00000133740	BLOOD	E2F5	2.03E-304	3.53E-304
ENSG00000164330	BLOOD	EBF1	2.03E-304	3.53E-304
ENSG00000241106	BLOOD	HLA-DOB	2.03E-304	3.53E-304
ENSG00000140968	BLOOD	IRF8	2.03E-304	3.53E-304
ENSG00000196092	BLOOD	PAX5	2.03E-304	3.53E-304
ENSG00000110777	BLOOD	POU2AF1	2.03E-304	3.53E-304
ENSG00000269404	BLOOD	SPIB	2.03E-304	3.53E-304
ENSG00000128438	BLOOD	TBC1D27	2.03E-304	3.53E-304
ENSG00000196628	BLOOD	TCF4	2.03E-304	3.53E-304
ENSG00000197385	BLOOD	ZNF860	2.03E-304	3.53E-304
ENSG00000197520	BLOOD	FAM177B	1.21E-43	1.51E-43
ENSG00000133424	BLOOD	LARGE	4.92E-16	5.52E-16
ENSG00000143297	BLOOD	FCRL5	1.52E-07	1.61E-07
ENSG00000152689	BLOOD	RASGRP3	0.0034566	0.0035351
ENSG00000150625	BLOOD	GPM6A	0.17896	0.17981
