ensembl	tissue	gene	P	FDR
ENSG00000104221	SF	BRF2	2.03E-304	3.53E-304
ENSG00000139624	SF	CERS5	2.03E-304	3.53E-304
ENSG00000005194	SF	CIAPIN1	2.03E-304	3.53E-304
ENSG00000159348	SF	CYB5R1	2.03E-304	3.53E-304
ENSG00000119718	SF	EIF2B2	2.03E-304	3.53E-304
ENSG00000168894	SF	RNF181	2.03E-304	3.53E-304
ENSG00000204231	SF	RXRB	2.03E-304	3.53E-304
ENSG00000189171	SF	S100A13	2.03E-304	3.53E-304
ENSG00000148290	SF	SURF1	2.03E-304	3.53E-304
ENSG00000196683	SF	TOMM7	2.03E-304	3.53E-304
ENSG00000169955	SF	ZNF747	2.03E-304	3.53E-304
ENSG00000179943	SF	FIZ1	6.39E-213	1.02E-212
ENSG00000158773	SF	USF1	2.81E-196	4.42E-196
ENSG00000231500	SF	RPS18	5.54E-124	8.07E-124
ENSG00000107175	SF	CREB3	4.25E-101	6.01E-101
ENSG00000134809	SF	TIMM10	2.80E-45	3.52E-45
ENSG00000162599	AOR	NFIA	2.32E-10	2.53E-10
ENSG00000102908	AOR	NFAT5	2.58E-09	2.79E-09
ENSG00000186283	SF	TOR3A	0.000019389	0.000020301
ENSG00000187079	BLOOD	TEAD1	0.000029629	0.000030954
ENSG00000145050	SF	MANF	0.00034285	0.00035403
ENSG00000179913	BLOOD	B3GNT3	0.064417	0.065011
