ensembl	tissue	gene	P	FDR
ENSG00000182158	MAM	CREB3L2	2.03E-304	3.53E-304
ENSG00000139083	MAM	ETV6	2.03E-304	3.53E-304
ENSG00000106571	MAM	GLI3	2.03E-304	3.53E-304
ENSG00000140443	MAM	IGF1R	2.03E-304	3.53E-304
ENSG00000118263	MAM	KLF7	2.03E-304	3.53E-304
ENSG00000110514	MAM	MADD	2.03E-304	3.53E-304
ENSG00000138162	MAM	TACC2	2.03E-304	3.53E-304
ENSG00000151148	MAM	UBE3B	2.03E-304	3.53E-304
ENSG00000035403	MAM	VCL	2.03E-304	3.53E-304
ENSG00000141252	MAM	VPS53	2.03E-304	3.53E-304
ENSG00000188786	MAM	MTF1	2.45E-98	3.45E-98
